Bolag,Bensinpris,Dieselpris,Etanol,Datum,ScrapeDate
15.99,16.89,13.09,2025-09-17,2025-09-18,
15.99,16.89,13.09,2025-09-17,2025-09-19,
15.99,16.89,13.09,2025-09-22,2025-09-22,
16.09,16.94,13.64,2025-09-30,2025-10-01,
15.94,16.84,14.09,2025-10-02,2025-10-03,
OKQ8,15.74,16.59,14.54,2025-10-03,2025-10-03
Circle K,15.74,16.59,14.54,2025-10-03,2025-10-03
Circle K,15.74,16.59,14.54,2 dagar sedan,2025-10-05
OKQ8,15.74,16.59,14.54,2 dagar sedan,2025-10-05
Circle K,15.84,16.59,14.84,2025-10-06,2025-10-07
OKQ8,15.84,16.59,14.84,2025-10-06,2025-10-07
Circle K,15.84,16.59,14.84,2 dagar sedan,2025-10-08
OKQ8,15.84,16.59,14.84,2 dagar sedan,2025-10-08
OKQ8,15.99,16.79,13.74,2025-10-10,2025-10-11
Circle K,15.99,16.79,13.74,2025-10-10,2025-10-11
Circle K,15.99,16.79,13.74,2 dagar sedan,2025-10-12
OKQ8,15.99,16.79,13.74,2 dagar sedan,2025-10-12
OKQ8,15.79,16.59,13.74,2025-10-13,2025-10-14
Circle K,15.79,16.59,13.74,2025-10-13,2025-10-14
Circle K,15.79,16.59,13.74,2 dagar sedan,2025-10-15
OKQ8,15.79,16.59,13.74,2 dagar sedan,2025-10-15
OKQ8,15.94,16.59,14.59,2025-10-16,2025-10-17
Circle K,15.94,16.59,14.59,2025-10-16,2025-10-17
OKQ8,15.94,16.59,14.59,2 dagar sedan,2025-10-18
Circle K,15.94,16.59,14.59,2 dagar sedan,2025-10-18
OKQ8,15.74,16.49,14.59,2025-10-20,2025-10-21
Circle K,15.74,16.49,14.59,2025-10-20,2025-10-21
OKQ8,15.74,16.49,14.59,2 dagar sedan,2025-10-22
Circle K,15.74,16.49,14.59,2 dagar sedan,2025-10-22
OKQ8,15.74,16.69,15.14,2025-10-23,2025-10-24
Circle K,15.74,16.69,15.14,2025-10-23,2025-10-24
Circle K,15.99,17.14,15.14,2025-10-24,2025-10-25
OKQ8,15.99,17.14,15.14,2025-10-24,2025-10-25
OKQ8,15.99,17.14,15.14,2 dagar sedan,2025-10-26
Circle K,15.99,17.14,15.14,2 dagar sedan,2025-10-26
OKQ8,15.99,17.24,,2025-10-27,2025-10-28
Circle K,15.99,17.24,,2025-10-27,2025-10-28
OKQ8,15.99,17.39,,2025-10-28,2025-10-29
Circle K,15.99,17.39,,2025-10-28,2025-10-29
Circle K,15.79,17.19,14.24,2025-10-29,2025-10-29
OKQ8,15.79,17.19,14.24,2025-10-29,2025-10-29
OKQ8,15.79,17.19,14.24,2 dagar sedan,2025-10-31
Circle K,15.79,17.19,14.24,2 dagar sedan,2025-10-31
OKQ8,15.79,17.34,14.24,2025-10-31,2025-11-01
Circle K,15.79,17.34,14.24,2025-10-31,2025-11-01
Circle K,15.79,17.34,14.84,2025-11-01,2025-11-02
OKQ8,15.79,17.34,14.24,2 dagar sedan,2025-11-02
Circle K,15.79,17.34,14.84,2 dagar sedan,2025-11-03
Circle K,15.69,17.34,14.49,2025-11-03,2025-11-04
OKQ8,15.69,17.34,13.89,2025-11-03,2025-11-04
OKQ8,15.69,17.34,13.89,2 dagar sedan,2025-11-05
Circle K,15.69,17.34,14.49,2 dagar sedan,2025-11-05
Circle K,15.84,17.44,14.79,2025-11-05,2025-11-06
OKQ8,15.84,17.44,14.79,2025-11-05,2025-11-06
Circle K,15.94,17.64,14.99,2025-11-06,2025-11-07
OKQ8,15.94,17.64,14.99,2025-11-06,2025-11-07
OKQ8,15.94,17.64,14.99,2 dagar sedan,2025-11-08
Circle K,15.94,17.64,14.99,2 dagar sedan,2025-11-08
Circle K,16.09,17.64,14.99,2025-11-11,2025-11-12
OKQ8,16.09,17.64,14.99,2025-11-11,2025-11-12
Circle K,16.19,17.79,14.99,2025-11-12,2025-11-13
OKQ8,16.19,17.79,14.99,2025-11-12,2025-11-13
OKQ8,16.09,17.54,14.34,2025-11-13,2025-11-14
Circle K,16.09,17.54,14.34,2025-11-13,2025-11-14
Circle K,16.09,17.54,14.34,2 dagar sedan,2025-11-15
