Station,Price,Date,Fuel,ScrapeDate,Source
ÖvrigaTorsåsAllfargatan 41,14.95,2025-09-16,95 (E10),2025-09-18,bensinpriser.nu
ÖvrigaTorsåsTorsås: Bergkvarav 7,14.99,2025-09-12,95 (E10),2025-09-18,bensinpriser.nu
QstarÄlmhultÄlmhult: Södra Esplanaden 4,15.09,2025-09-16,95 (E10),2025-09-18,bensinpriser.nu
IngoGöteborgkortedalavägen 11,15.11,2025-09-15,95 (E10),2025-09-18,bensinpriser.nu
IngoLandskronaFöretagsvägen 2,15.13,2025-09-14,95 (E10),2025-09-18,bensinpriser.nu
ÖvrigaBoråsViskafors Bensin AB: Varbergsvägen 150,15.19,2025-09-16,95 (E10),2025-09-18,bensinpriser.nu
OKQ8HelsingborgLandskronavägen 14C,15.29,2025-09-16,95 (E10),2025-09-18,bensinpriser.nu
Backabo mackenKarlskronaIndustrivägen 4,15.29,2025-09-15,95 (E10),2025-09-18,bensinpriser.nu
St1SandvikenGävlevägen 100 / Järbovägen,15.29,2025-09-17,95 (E10),2025-09-18,bensinpriser.nu
St1Upplands-BroBrunna / Kungsängen,15.29,2025-09-17,95 (E10),2025-09-18,bensinpriser.nu
St1VansbroÄlvgatan 1,15.29,2025-09-17,95 (E10),2025-09-18,bensinpriser.nu
St1HedemoraIvarshyttevägen,15.29,2025-09-17,95 (E10),2025-09-18,bensinpriser.nu
St1HedemoraÖsterbyvägen 17 / Tviksta,15.29,2025-09-17,95 (E10),2025-09-18,bensinpriser.nu
ÖvrigaTrollhättanGrafitvägen 16,15.99,2025-09-17,98,2025-09-18,bensinpriser.nu
IngoGöteborgkortedalavägen 11,16.21,2025-09-15,98,2025-09-18,bensinpriser.nu
IngoHöörSödergatan 2,16.22,2025-09-11,98,2025-09-18,bensinpriser.nu
OKQ8UppsalaSkebogatan 2,16.29,2025-09-14,98,2025-09-18,bensinpriser.nu
ÖvrigaKävlingeFurumacken / Hantverkargatan 1 Furulund,16.29,2025-09-15,98,2025-09-18,bensinpriser.nu
IngoTimråKöpmangatan 51,13.25,2025-09-17,Diesel,2025-09-18,bensinpriser.nu
Backabo mackenKarlskronaIndustrivägen 4,15.49,2025-09-15,Diesel,2025-09-18,bensinpriser.nu
ÖvrigaTorsåsAllfargatan 41,15.54,2025-09-16,Diesel,2025-09-18,bensinpriser.nu
